1,Nguyen Tran Minh Q,a1@student.ctu.edu.vn,11/9/2002,2/12/2023 15:28,qwweqwe,5f58ba54fe630eee4816ce74e67c7b8b.jpg
2,Nguyen Thi My H,a2@student.ctu.edu.vn,7/24/2002,2/12/2023 15:28,sdasdas,5f58ba54fe630eee4816ce74e67c7b8b.jpg
3,Nguyen Thi Minh N,a3@student.ctu.edu.vn,1/3/2002,2/12/2023 15:28,cvvddas,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
4,Luong Luu Minh T,a4@student.ctu.edu.vn,2/9/2002,2/12/2023 15:28,fafsffas,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
5,Huynh Thi My A,a5@student.ctu.edu.vn,12/2/2002,2/12/2023 15:28,1asdwcas,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
6,Tran Ngoc Duy,a6@student.ctu.edu.vn,2/2/2002,2/12/2023 15:28,vbedfdf,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
7,Nguyen Quoc T,a7@student.ctu.edu.vn,2/1/2002,2/12/2023 15:28,qzxcwww,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
8,Nguyen Truong Thanh P,a8@student.ctu.edu.vn,1/10/2002,2/12/2023 15:28,frerddss,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
9,Nguyen Khoa H,a9@student.ctu.edu.vn,3/30/2002,2/12/2023 15:28,rerrttdtg,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
10,Nguyen Quoc S,a10@student.ctu.edu.vn,12/2/2002,2/12/2023 15:28,ttwqtwt,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
11,Nguyen Thanh H,a11@student.ctu.edu.vn,3/2/2002,2/12/2023 15:28,twerwrds,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
12,Nguyen Thai N,a12@student.ctu.edu.vn,2/9/2002,2/12/2023 15:28,assdadvv,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg
﻿1,Nguyen Tran Minh Q,a1@student.ctu.edu.vn,11/9/2002,2/12/2023 15:28,qwweqwe,5f58ba54fe630eee4816ce74e67c7b8b.jpg;;;;;;
2,Nguyen Thi My H,a2@student.ctu.edu.vn,7/24/2002,2/12/2023 15:28,sdasdas,5f58ba54fe630eee4816ce74e67c7b8b.jpg;;;;;;
3,Nguyen Thi Minh N,a3@student.ctu.edu.vn,1/3/2002,2/12/2023 15:28,cvvddas,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
4,Luong Luu Minh T,a4@student.ctu.edu.vn,2/9/2002,2/12/2023 15:28,fafsffas,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
5,Huynh Thi My A,a5@student.ctu.edu.vn,12/2/2002,2/12/2023 15:28,1asdwcas,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
6,Tran Ngoc Duy,a6@student.ctu.edu.vn,2/2/2002,2/12/2023 15:28,vbedfdf,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
7,Nguyen Quoc T,a7@student.ctu.edu.vn,2/1/2002,2/12/2023 15:28,qzxcwww,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
8,Nguyen Truong Thanh P,a8@student.ctu.edu.vn,1/10/2002,2/12/2023 15:28,frerddss,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
9,Nguyen Khoa H,a9@student.ctu.edu.vn,3/30/2002,2/12/2023 15:28,rerrttdtg,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
10,Nguyen Quoc S,a10@student.ctu.edu.vn,12/2/2002,2/12/2023 15:28,ttwqtwt,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
11,Nguyen Thanh H,a11@student.ctu.edu.vn,3/2/2002,2/12/2023 15:28,twerwrds,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
12,Nguyen Thai N,a12@student.ctu.edu.vn,2/9/2002,2/12/2023 15:28,assdadvv,5f58ba54fe630123123eee4816ce74e67c7b8b.jpg;;;;;;
